Protocol,Src Port,Dst port,Packet Count,First Timestamp,Last Timestamp,Mean Packet Length
Ether,443,49757,1,Unknown,Unknown,970
Ether,49757,443,1,Unknown,Unknown,54
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1242
Ether,49757,443,1,Unknown,Unknown,54
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1242
Ether,49757,443,1,Unknown,Unknown,54
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,114
Ether,49757,443,1,Unknown,Unknown,54
